key_size,days_remaining,is_expired,is_self_signed,tls_version_score,cipher_bits,weak_signature,label
2048,170,0,1,4,256,1,anomalous
2048,107,0,1,4,256,0,normal
2048,337,0,0,4,128,0,normal
4096,147,0,1,4,256,0,normal
4096,189,0,0,3,256,0,normal
2048,201,0,1,4,256,0,normal
2048,226,0,0,4,256,0,normal
512,59,0,1,4,256,0,anomalous
2048,118,0,0,3,128,0,normal
2048,276,0,1,3,256,0,normal
4096,347,0,0,4,128,0,normal
2048,133,0,0,4,256,0,normal
4096,356,0,1,4,128,0,normal
4096,78,0,0,3,256,0,normal
2048,89,0,1,4,128,0,normal
2048,145,0,1,4,256,0,normal
2048,192,0,1,4,256,0,normal
2048,205,0,0,4,256,0,normal
2048,227,0,0,4,256,0,normal
2048,141,0,1,4,256,0,normal
2048,215,0,0,3,256,0,normal
2048,79,0,1,4,256,0,normal
2048,238,0,0,4,128,0,normal
2048,320,0,1,4,128,0,normal
4096,225,0,0,4,256,0,normal
4096,145,0,0,3,256,0,normal
2048,-30,1,1,4,256,0,anomalous
4096,66,0,1,4,128,0,normal
2048,185,0,1,4,256,0,normal
2048,198,0,1,3,256,0,normal
4096,77,0,1,4,256,0,normal
4096,285,0,0,3,256,0,normal
2048,339,0,1,3,256,0,normal
2048,119,0,1,4,256,1,anomalous
2048,350,0,0,4,256,0,normal
4096,214,0,0,3,256,0,normal
2048,220,0,1,4,256,0,normal
2048,282,0,0,4,256,0,normal
4096,132,0,0,4,128,0,normal
2048,144,0,1,0,56,0,anomalous
2048,99,0,0,3,128,0,normal
2048,206,0,1,4,256,0,normal
4096,217,0,0,3,128,0,normal
2048,69,0,1,4,256,0,normal
2048,-186,1,1,4,256,0,anomalous
2048,189,0,0,4,256,0,normal
2048,115,0,1,4,256,1,anomalous
2048,275,0,0,4,128,0,normal
2048,276,0,0,4,256,0,normal
2048,160,0,0,4,256,0,normal
4096,227,0,0,3,256,0,normal
2048,200,0,0,3,256,0,normal
2048,181,0,0,4,128,0,normal
2048,247,0,0,4,256,0,normal
2048,189,0,1,0,56,0,anomalous
4096,61,0,0,4,256,0,normal
2048,260,0,1,4,256,0,normal
1024,-90,1,1,0,256,0,anomalous
2048,145,0,0,3,256,0,normal
2048,146,0,0,3,256,0,normal
2048,346,0,1,4,128,0,normal
2048,190,0,1,4,256,1,anomalous
2048,247,0,0,4,256,0,normal
2048,253,0,0,4,128,0,normal
2048,118,0,0,4,256,0,normal
2048,188,0,0,3,256,0,normal
2048,255,0,1,4,256,0,normal
2048,101,0,1,2,56,0,anomalous
2048,354,0,0,4,256,0,normal
4096,277,0,0,3,256,0,normal
2048,310,0,1,4,256,0,normal
2048,361,0,1,4,256,0,normal
2048,165,0,0,3,128,0,normal
2048,62,0,0,4,256,0,normal
2048,326,0,1,3,256,0,normal
2048,185,0,0,3,256,0,normal
1024,-17,1,1,0,256,0,anomalous
2048,189,0,1,4,128,0,normal
2048,196,0,0,4,128,0,normal
2048,90,0,1,4,256,1,anomalous
2048,-140,1,1,4,256,0,anomalous
2048,72,0,0,3,256,0,normal
2048,105,0,0,4,256,0,normal
2048,144,0,1,4,256,0,normal
2048,352,0,0,4,256,0,normal
4096,236,0,1,4,128,0,normal
2048,79,0,1,4,256,0,normal
2048,346,0,0,4,256,0,normal
1024,-3,1,1,0,256,0,anomalous
2048,222,0,1,4,256,0,normal
2048,331,0,0,4,128,0,normal
2048,330,0,1,4,256,0,normal
2048,171,0,1,0,112,0,anomalous
4096,166,0,0,4,256,0,normal
2048,82,0,1,3,256,0,normal
2048,94,0,0,4,256,0,normal
2048,65,0,0,4,128,0,normal
2048,256,0,1,4,256,0,normal
2048,359,0,0,4,256,0,normal
2048,345,0,0,4,256,0,normal
2048,323,0,1,4,256,0,normal
4096,232,0,0,4,256,0,normal
2048,312,0,1,4,256,0,normal
2048,152,0,0,4,256,0,normal
4096,291,0,0,3,128,0,normal
2048,254,0,1,4,256,0,normal
2048,145,0,1,4,128,0,normal
1024,77,0,1,4,256,0,anomalous
2048,226,0,1,3,256,0,normal
4096,96,0,0,3,128,0,normal
2048,158,0,0,3,256,0,normal
2048,119,0,0,4,128,0,normal
1024,-51,1,1,1,256,0,anomalous
2048,-168,1,1,4,256,0,anomalous
4096,256,0,0,4,256,0,normal
2048,92,0,1,4,256,1,anomalous
2048,160,0,0,3,128,0,normal
2048,103,0,0,4,128,0,normal
1024,-82,1,1,0,256,0,anomalous
2048,364,0,0,4,128,0,normal
4096,320,0,0,4,128,0,normal
2048,172,0,0,3,256,0,normal
